chrom	length	bases	mean	min	max
chr1	248956422	2764973365	11.11	0	5372
chr2	242193529	2099727820	8.67	0	237492
chr3	198295559	1559318746	7.86	0	9982
chr4	190214555	1259492724	6.62	0	10563
chr5	181538259	1265806200	6.97	0	2085
chr6	170805979	1459934488	8.55	0	4661
chr7	159345973	1291573589	8.11	0	6514
chr8	145138636	984025490	6.78	0	10312
chr9	138394717	1087804290	7.86	0	2665
chr10	133797422	1093066157	8.17	0	3012
chr11	135086622	1386450137	10.26	0	2305
chr12	133275309	1424101709	10.69	0	2177
chr13	114364328	509620495	4.46	0	1653
chr14	107043718	776234157	7.25	0	3334
chr15	101991189	955101530	9.36	0	2371
chr16	90338345	850132733	9.41	0	2149
chr17	83257441	1150081043	13.81	0	3252
chr18	80373285	450501378	5.61	0	2374
chr19	58617616	1089682356	18.59	0	3724
chr20	64444167	518420845	8.04	0	1405
chr21	46709983	249452768	5.34	0	3504
chr22	50818468	380220557	7.48	0	2507
chrX	156040895	1175262213	7.53	0	6660
chrY	57227415	16307880	0.28	0	1688
chrM	16569	1212824	73.20	2	3383
GL000008.2	209709	410146	1.96	0	787
GL000009.2	201709	435930	2.16	0	939
GL000194.1	191469	606941	3.17	0	319
GL000195.1	182896	839751	4.59	0	1938
GL000205.2	185591	1911876	10.30	0	3346
GL000208.1	92689	19258	0.21	0	5
GL000213.1	164239	1742422	10.61	0	909
GL000214.1	137718	344245	2.50	0	691
GL000216.2	176608	414870	2.35	0	326
GL000218.1	161147	741424	4.60	0	486
GL000219.1	179198	359406	2.01	0	387
GL000220.1	161802	611881	3.78	0	1377
GL000221.1	155397	520379	3.35	0	1032
GL000224.1	179693	409738	2.28	0	270
GL000225.1	211173	2193312	10.39	0	1161
GL000226.1	15008	41355	2.76	0	21
KI270302.1	2274	197	0.09	0	1
KI270303.1	1942	228	0.12	0	1
KI270304.1	2165	365	0.17	0	1
KI270310.1	1201	226	0.19	0	1
KI270311.1	12399	552	0.04	0	2
KI270316.1	1444	402	0.28	0	3
KI270317.1	37690	180	0.00	0	1
KI270320.1	4416	651	0.15	0	1
KI270322.1	21476	718	0.03	0	1
KI270329.1	1040	98	0.09	0	1
KI270330.1	1652	4034	2.44	0	12
KI270333.1	2699	22461	8.32	0	42
KI270334.1	1368	210	0.15	0	1
KI270335.1	1048	164	0.16	0	1
KI270336.1	1026	5584	5.44	0	17
KI270337.1	1121	19590	17.48	0	78
KI270338.1	1428	334	0.23	0	1
KI270340.1	1428	621	0.43	0	2
KI270362.1	3530	316	0.09	0	1
KI270363.1	1803	317	0.18	0	2
KI270364.1	2855	288	0.10	0	1
KI270366.1	8320	625	0.08	0	2
KI270371.1	2805	150	0.05	0	1
KI270373.1	1451	101	0.07	0	1
KI270379.1	1045	253	0.24	0	2
KI270385.1	990	82	0.08	0	1
KI270386.1	1788	313	0.18	0	1
KI270387.1	1537	150	0.10	0	1
KI270389.1	1298	483	0.37	0	2
KI270390.1	2387	150	0.06	0	1
KI270395.1	1143	656	0.57	0	2
KI270411.1	2646	1246	0.47	0	3
KI270412.1	1179	592	0.50	0	2
KI270414.1	2489	227	0.09	0	2
KI270418.1	2145	300	0.14	0	1
KI270420.1	2321	484	0.21	0	2
KI270429.1	1361	787	0.58	0	3
KI270435.1	92983	22265	0.24	0	5
KI270438.1	112505	147391	1.31	0	67
KI270442.1	392061	692770	1.77	0	631
KI270448.1	7992	2995	0.37	0	2
KI270465.1	1774	2598	1.46	0	5
KI270466.1	1233	14930	12.11	0	33
KI270467.1	3920	54088	13.80	0	54
KI270468.1	4055	280	0.07	0	1
KI270507.1	5353	674	0.13	0	2
KI270508.1	1951	724	0.37	0	2
KI270509.1	2318	1104	0.48	0	2
KI270510.1	2415	1024	0.42	0	3
KI270511.1	8127	1556	0.19	0	3
KI270512.1	22689	2341	0.10	0	4
KI270515.1	6361	1791	0.28	0	3
KI270516.1	1300	482	0.37	0	1
KI270517.1	3253	1201	0.37	0	2
KI270518.1	2186	738	0.34	0	4
KI270519.1	138126	23001	0.17	0	4
KI270521.1	7642	1268	0.17	0	3
KI270522.1	5674	1176	0.21	0	2
KI270529.1	1899	49	0.03	0	1
KI270530.1	2168	50	0.02	0	1
KI270538.1	91309	19000	0.21	0	4
KI270544.1	1202	1080	0.90	0	3
KI270579.1	31033	5224	0.17	0	3
KI270580.1	1553	1584	1.02	0	3
KI270581.1	7046	2796	0.40	0	4
KI270582.1	6504	1621	0.25	0	2
KI270583.1	1400	2396	1.71	0	5
KI270584.1	4513	2155	0.48	0	2
KI270587.1	2969	1028	0.35	0	2
KI270588.1	6158	2323	0.38	0	3
KI270589.1	44474	10595	0.24	0	4
KI270590.1	4685	2680	0.57	0	3
